subj_idx,ns,block_id,stim_id,rt,resp,corr_resp,acc,feedback,FBProb,stim_ctr,delay,early_late,pcor
268,3,5,2,0.5233292,1,1,1,2,0.5,4.0,2,-1,2
268,3,5,1,0.8482647,0,0,1,2,0.8,5.0,4,0,3
268,3,5,1,0.5844071,0,0,1,2,0.8,6.0,1,0,4
268,3,5,0,0.5718041,0,0,1,1,0.2,5.0,4,0,4
268,3,5,0,0.5589291,0,0,1,1,0.2,6.0,1,0,5
268,3,5,2,0.4822076,1,1,1,1,0.5,5.0,5,0,3
268,3,5,2,0.4254161,1,1,1,1,0.5,6.0,1,0,4
268,3,5,1,0.5622526,0,0,1,2,0.8,7.0,5,0,5
268,3,5,0,0.5819432,0,0,1,1,0.2,7.0,4,0,6
268,3,5,0,0.5843621,0,0,1,2,0.2,8.0,1,0,7
268,3,5,1,0.5558866,0,0,1,2,0.8,8.0,3,0,6
268,3,5,2,0.5755441,1,1,1,1,0.5,7.0,5,0,5
268,3,5,0,0.6591087,0,0,1,1,0.2,9.0,3,1,8
268,3,5,1,0.7063918,0,0,1,1,0.8,9.0,3,1,7
268,3,5,2,0.5278732,1,1,1,2,0.5,8.0,3,0,6
268,3,5,2,0.4691766,1,1,1,2,0.5,9.0,1,1,7
268,3,5,1,0.5407834,0,0,1,2,0.8,10.0,3,1,8
268,3,5,2,0.5451117,1,1,1,2,0.5,10.0,2,1,8
268,3,5,0,0.5334252,0,0,1,1,0.2,10.0,6,1,9
268,5,6,0,1.4030891,0,1,0,0,0.8,1.0,0,0,0
268,5,6,1,0.9731001,1,0,0,0,0.5,1.0,0,0,0
268,5,6,0,1.0885634,1,1,1,2,0.8,2.0,0,0,0
268,5,6,2,0.7989774,2,1,0,0,0.8,1.0,0,0,0
268,5,6,1,1.6731218,0,0,1,2,0.5,2.0,0,0,0
268,5,6,3,1.0729809,0,2,0,0,0.5,1.0,0,0,0
268,5,6,4,0.799969,2,1,0,0,0.2,1.0,0,0,0
268,5,6,3,1.1142971,1,2,0,0,0.5,2.0,0,0,0
268,5,6,4,1.1757091,0,1,0,0,0.2,2.0,0,0,0
268,5,6,0,0.8505657,1,1,1,1,0.8,3.0,7,-1,1
268,5,6,0,0.5503452,1,1,1,1,0.8,4.0,2,-1,2
268,5,6,2,0.8424864,0,1,0,0,0.8,2.0,0,0,0
268,5,6,1,0.8512201,1,0,0,0,0.5,3.0,9,-1,1
268,5,6,4,1.5473105,2,1,0,0,0.2,3.0,0,0,0
268,5,6,1,0.9040163,1,0,0,0,0.5,4.0,11,-1,1
268,5,6,3,1.0058847,0,2,0,0,0.5,3.0,0,0,0
268,5,6,3,0.4792913,1,2,0,0,0.5,4.0,0,0,0
268,5,6,0,0.7107175,1,1,1,2,0.8,5.0,7,0,3
268,5,6,4,0.7564238,0,1,0,0,0.2,4.0,0,0,0
268,5,6,0,0.5282724,1,1,1,2,0.8,6.0,2,0,4
268,5,6,2,1.0450415,2,1,0,0,0.8,3.0,0,0,0
268,5,6,2,0.8538322,0,1,0,0,0.8,4.0,0,0,0
268,5,6,4,0.8771776,1,1,1,2,0.2,5.0,0,0,0
268,5,6,1,1.2524062,2,0,0,0,0.5,5.0,20,-1,1
268,5,6,3,1.3410257,2,2,1,1,0.5,5.0,0,0,0
268,5,6,4,0.5779032,1,1,1,1,0.2,6.0,3,-1,1
268,5,6,0,0.6600113,1,1,1,2,0.8,7.0,7,0,5
268,5,6,3,1.3002684,1,2,0,0,0.5,6.0,3,-1,1
268,5,6,1,1.5789248,0,0,1,2,0.5,6.0,25,-1,1
268,5,6,0,0.6782928,1,1,1,2,0.8,8.0,3,0,6
268,5,6,2,0.6615983,1,1,1,2,0.8,5.0,0,0,0
268,5,6,1,0.7412019,0,0,1,1,0.5,7.0,3,-1,2
268,5,6,2,1.7453442,1,1,1,2,0.8,6.0,2,-1,1
268,5,6,3,0.806057,2,2,1,2,0.5,7.0,9,-1,1
268,5,6,4,0.6078882,1,1,1,1,0.2,7.0,9,-1,2
268,5,6,0,0.6417255,1,1,1,2,0.8,9.0,6,1,7
268,5,6,1,0.9301119,0,0,1,2,0.5,8.0,5,0,3
268,5,6,3,0.7430122,2,2,1,2,0.5,8.0,4,-1,2
268,5,6,1,0.4835588,0,0,1,1,0.5,9.0,2,1,4
268,5,6,4,0.6986333,1,1,1,1,0.2,8.0,5,0,3
268,5,6,2,0.5847763,1,1,1,1,0.8,7.0,8,-1,2
268,5,6,4,0.5079494,1,1,1,1,0.2,9.0,2,1,4
268,5,6,2,0.5774737,1,1,1,2,0.8,8.0,2,1,3
268,5,6,3,0.7089451,2,2,1,1,0.5,9.0,6,1,3
268,5,6,4,0.5145957,1,1,1,1,0.2,10.0,3,1,5
268,5,6,1,0.5836405,0,0,1,1,0.5,10.0,7,1,5
268,5,6,0,0.5546712,1,1,1,2,0.8,10.0,11,1,8
268,5,6,2,0.5107143,1,1,1,2,0.8,9.0,5,1,4
268,5,6,3,0.6291086,2,2,1,1,0.5,10.0,5,1,4
268,4,7,0,0.6482396,0,2,0,0,0.5,1.0,0,0,0
268,4,7,1,0.5365589,0,2,0,0,0.8,1.0,0,0,0
268,4,7,0,0.4612773,1,2,0,0,0.5,2.0,0,0,0
268,4,7,2,0.8371118,0,1,0,0,0.2,1.0,0,0,0
268,4,7,2,0.6208958,1,1,1,1,0.2,2.0,0,0,0
268,4,7,1,1.2309491,1,2,0,0,0.8,2.0,0,0,0
268,4,7,3,1.3511038,0,1,0,0,0.2,1.0,0,0,0
268,4,7,0,1.1156149,1,2,0,0,0.5,3.0,0,0,0
268,4,7,0,0.4414982,2,2,1,1,0.5,4.0,0,0,0
268,4,7,2,0.4175375,2,1,0,0,0.2,3.0,5,-1,1
268,4,7,1,1.3078085,2,2,1,2,0.8,3.0,0,0,0
268,4,7,3,1.5051146,1,1,1,2,0.2,2.0,0,0,0
268,4,7,1,1.7753287,2,2,1,2,0.8,4.0,2,-1,1
268,4,7,0,1.1069854,2,2,1,1,0.5,5.0,5,-1,1
268,4,7,3,0.3685404,1,1,1,1,0.2,3.0,3,-1,1
268,4,7,2,0.6683777,1,1,1,1,0.2,4.0,11,-1,1
268,4,7,2,0.9240854,1,1,1,2,0.2,5.0,1,-1,2
268,4,7,0,0.6091189,2,2,1,2,0.5,6.0,4,-1,2
268,4,7,1,1.0264161,2,2,1,2,0.8,5.0,6,-1,2
268,4,7,1,0.6442064,2,2,1,2,0.8,6.0,1,0,3
268,4,7,3,0.5160854,1,1,1,1,0.2,4.0,6,-1,2
268,4,7,2,0.5063128,1,1,1,1,0.2,6.0,5,0,3
268,4,7,3,0.7837209,1,1,1,1,0.2,5.0,2,0,3
268,4,7,0,0.5867888,2,2,1,1,0.5,7.0,6,0,3
268,4,7,1,0.4449877,2,2,1,1,0.8,7.0,5,0,4
268,4,7,3,0.5653843,1,1,1,1,0.2,6.0,3,0,4
268,4,7,1,0.5850651,2,2,1,2,0.8,8.0,2,0,5
268,4,7,2,0.6196938,1,1,1,1,0.2,7.0,6,0,4
268,4,7,3,0.6373227,1,1,1,2,0.2,7.0,3,0,5
268,4,7,2,0.4296335,1,1,1,1,0.2,8.0,2,0,5
